GP,JOHANNESBURG,-26,-11,-31,28,0,26,2628AA,702,702,"A talk radio station based in Johannesburg, Gauteng. It is known for its news, current affairs, and talk shows. The station provides in-depth coverage of local and international news, offering listeners a platform for discussions and debates on various topics.",92.700,52
GP,PRETORIA,-25,-41,-21,27,59,2,2527DB,702,702,"A talk radio station based in Johannesburg, Gauteng. It is known for its news, current affairs, and talk shows. The station provides in-depth coverage of local and international news, offering listeners a platform for discussions and debates on various topics.",106.000,185
WC,TYGERBERG,-33,-52,-31,18,35,44,3318DC,786,786,,100.400,129
NC,AGGENEYS BLACK MOUNTAIN 1,-29,-14,-3,18,57,15,2918BB,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",99.300,118
NC,ALEXANDER BAY,-28,-36,-39,16,29,55,2816CB,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",98.700,112
FS,BETHLEHEM,-28,-14,-10,28,29,58,2828AB,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",98.400,109
FS,BLOEMFONTEIN,-29,-6,-4,26,13,44,2926AA,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",99.500,120
EC,BUTTERWORTH,-32,-16,-35,28,12,24,3228AC,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",97.600,101
WC,CALEDON,-34,-13,-3,19,25,32,3419AB,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",100.400,129
NC,CALVINIA,-31,-27,-3,19,46,34,3119BD,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",89.000,15
WC,CAPE TOWN,-34,-3,-18,18,23,11,3418AB,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",98.600,111
WC,CERES,-33,-15,-13,19,27,32,3319AD,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",100.200,127
NW,CHRISTIANA,-27,-53,-48,25,10,24,2725CC,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",100.100,126
EC,CRADOCK,-32,-9,-51,25,37,49,3225BA,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",99.200,117
MP,DAVEL,-26,-27,-30,29,37,26,2629BC,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",100.000,125
NC,DE AAR,-30,-38,-40,24,1,23,3024CA,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",98.500,110
KN,DONNYBROOK,-29,-54,-56,29,51,19,2929DD,2000,Radio-2000,"A South African radio station that broadcasts a mix of music, news, and talk shows. It focuses on delivering contemporary music and content that appeals to a broad audience. The station is known for its diverse programming and engaging content.",99.200,117
