SiteName,SiteCode,Classification,OC,Region,Province,DeviceName,DeviceIP,FormattedDateTimeEvent,MeasureDescription,RawValue,lowerPreAlarmTsh,upperPreAlarmTsh,lowerAlarmTsh,upperAlarmTsh,oid,oidIndex
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Frame alarm,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.2.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Frame warning,1,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.3.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Slot 1 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.31.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Slot 3 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.33.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Slot 5 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.35.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Slot 7 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.37.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Slot 9 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.39.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Slot 11 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.41.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Slot 13 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.43.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 9:54:24,Slot 15 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.45.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Frame alarm,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.2.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Frame warning,1,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.3.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Slot 1 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.31.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Slot 3 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.33.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Slot 5 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.35.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Slot 7 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.37.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Slot 9 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.39.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Slot 11 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.41.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Slot 13 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.43.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 11:54:40,Slot 15 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.45.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Slot 5 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.35.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Slot 7 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.37.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Slot 9 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.39.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Slot 11 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.41.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Slot 13 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.43.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Slot 15 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.45.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Frame alarm,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.2.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Frame warning,1,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.3.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Slot 1 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.31.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 5:53:50,Slot 3 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.33.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Frame alarm,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.2.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Frame warning,1,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.3.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Slot 1 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.31.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Slot 3 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.33.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Slot 5 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.35.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Slot 7 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.37.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Slot 9 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.39.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Slot 11 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.41.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Slot 13 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.43.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 7:54:07,Slot 15 - Health,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.45.1.81,278
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DAMP2 Mux2,010.128.000.020,2023-10-16 21:56:03,Frame alarm,0,0,0,0,0,1.3.6.1.4.1.3142.2.7.294.1.2.1.81,278
