SiteName,SiteCode,Classification,OC,Region,Province,DeviceName,DeviceIP,EventInDateTime,EventOutDateTime,AlarmDescription,RawValue
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,819,401,200.00","2,021,070,819,401,700.00",eTV - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,618,164,900.00","2,021,070,618,165,400.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,219,211,300.00","2,021,070,219,212,200.00",MTC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,718,564,100.00","2,021,070,718,570,000.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,720,224,000.00","2,021,070,720,250,600.00",eTV - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,721,543,900.00","2,021,070,721,544,400.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,723,373,200.00","2,021,070,723,373,700.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,717,085,000.00","2,021,070,717,090,000.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,715,425,600.00","2,021,070,715,430,100.00",MTC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,715,505,900.00","2,021,070,715,510,400.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,718,330,700.00","2,021,070,718,331,200.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,718,120,400.00","2,021,070,718,120,900.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,716,063,000.00","2,021,070,716,063,500.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,717,214,600.00","2,021,070,717,215,000.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,717,452,000.00","2,021,070,717,452,400.00",MTC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,415,465,100.00","2,021,070,415,465,600.00",SABC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,415,081,000.00","2,021,070,415,081,500.00",eTV - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,415,081,000.00","2,021,070,415,081,500.00",MTC - PMT Error - Priority 1,3
ALEXANDER BAY,C41.1,Bronze,Vredendal,Western Region,Northern Cape,Alexanderbay - DVMS4,010.128.050.086,"2,021,070,415,221,900.00","2,021,070,415,222,300.00",eTV - PMT Error - Priority 1,3
