National Site ;;;;
Operation Centre;Region;Provence;Type TX;Site Name
Durban(DBN);Eastern Region;Kwazulu Natal;High Power;DONNYBROOK
;Eastern Region;Kwazulu Natal;High Power;DONNYBROOK
;Eastern Region;Kwazulu Natal;High Power;DURBAN
;Eastern Region;Kwazulu Natal;High Power;DURBAN
;Eastern Region;Kwazulu Natal;Gap Filler;EMPANGENI
;Eastern Region;Kwazulu Natal;Gap Filler;EMPANGENI
;Eastern Region;Kwazulu Natal;High Power;ESHOWE
;Eastern Region;Kwazulu Natal;High Power;ESHOWE
;Eastern Region;Kwazulu Natal;High Power;GREYTOWN
;Eastern Region;Kwazulu Natal;High Power;GREYTOWN
;Eastern Region;Kwazulu Natal;High Power;GREYTOWN DORP
;Eastern Region;Kwazulu Natal;Gap Filler;HOWICK
;Eastern Region;Kwazulu Natal;High Power;MOOI RIVER
;Eastern Region;Kwazulu Natal;High Power;MOOI RIVER
;Eastern Region;Kwazulu Natal;High Power;OVERPORT
;Eastern Region;Kwazulu Natal;High Power;OVERPORT
;Eastern Region;Kwazulu Natal;High Power;PIETERMARITZBURG
;Eastern Region;Kwazulu Natal;High Power;PIETERMARITZBURG
;Eastern Region;Kwazulu Natal;High Power;PORT SHEPSTONE
;Eastern Region;Kwazulu Natal;High Power;PORT SHEPSTONE
;Eastern Region;Kwazulu Natal;High Power;STRAALHOEK
;Eastern Region;Kwazulu Natal;Gap Filler;THE BLUFF
;Eastern Region;Kwazulu Natal;Gap Filler;THE BLUFF
;Eastern Region;Kwazulu Natal;Gap Filler;VERULAM
;Eastern Region;Kwazulu Natal;Gap Filler;VERULAM
;;;;
East London;Eastern Region;Eastern Cape;High Power;BUTTERWORTH
;Eastern Region;Eastern Cape;High Power;BUTTERWORTH
;Eastern Region;Eastern Cape;High Power;EAST LONDON
;Eastern Region;Eastern Cape;High Power;EAST LONDON
;Eastern Region;Eastern Cape;High Power;ENTSHATSHONGO
;Eastern Region;Eastern Cape;High Power;KING WILLIAMS TOWN
;Eastern Region;Eastern Cape;High Power;KING WILLIAMS TOWN
;;;;
Middlebug;Eastern Region;Eastern Cape;High Power;ALIWAL NORTH
;Eastern Region;Eastern Cape;Gap Filler;BARKLY EAST
;Eastern Region;Eastern Cape;Gap Filler;BURGERSDORP
;Eastern Region;Northern Cape;Gap Filler;COLESBERG
;Eastern Region;Eastern Cape;High Power;CRADOCK
;Eastern Region;Northern Cape;High Power;DE AAR
;Eastern Region;Eastern Cape;High Power;GRAAFF-REINET
